idx,114,LOG_TIME,2023-05-18T05:15:37,2023-05-18T00:15:37,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,115s
idx,115,LOG_TIME,2023-05-18T05:15:38,2023-05-18T00:15:38,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,116s
idx,116,LOG_TIME,2023-05-18T05:15:39,2023-05-18T00:15:39,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,117s
idx,117,LOG_TIME,2023-05-18T05:15:40,2023-05-18T00:15:40,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,118s
idx,118,LOG_TIME,2023-05-18T05:15:41,2023-05-18T00:15:41,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,119s
idx,119,LOG_TIME,2023-05-18T05:15:42,2023-05-18T00:15:42,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,92%/50%,3,6,6,2m
idx,120,LOG_TIME,2023-05-18T05:15:43,2023-05-18T00:15:43,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,62%/50%,3,6,6,2m1s
idx,121,LOG_TIME,2023-05-18T05:15:44,2023-05-18T00:15:44,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,62%/50%,3,6,6,2m2s
idx,122,LOG_TIME,2023-05-18T05:15:45,2023-05-18T00:15:45,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,62%/50%,3,6,6,2m3s
