kind-control-plane,1050m,13%,1354Mi,16%,
kind-worker,40m,0%,349Mi,4%,
kind-worker2,184m,2%,402Mi,5%,
kind-worker3,183m,2%,383Mi,4%,
idx,81,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1050m,13%,1354Mi,16%,
kind-worker,40m,0%,349Mi,4%,
kind-worker2,184m,2%,402Mi,5%,
kind-worker3,183m,2%,383Mi,4%,
idx,82,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1050m,13%,1354Mi,16%,
kind-worker,40m,0%,349Mi,4%,
kind-worker2,184m,2%,402Mi,5%,
kind-worker3,183m,2%,383Mi,4%,
idx,83,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1050m,13%,1354Mi,16%,
kind-worker,40m,0%,349Mi,4%,
kind-worker2,184m,2%,402Mi,5%,
kind-worker3,183m,2%,383Mi,4%,
idx,84,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1050m,13%,1354Mi,16%,
kind-worker,40m,0%,349Mi,4%,
kind-worker2,184m,2%,402Mi,5%,
kind-worker3,183m,2%,383Mi,4%,
idx,85,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1050m,13%,1354Mi,16%,
kind-worker,40m,0%,349Mi,4%,
kind-worker2,184m,2%,402Mi,5%,
kind-worker3,183m,2%,383Mi,4%,
